,cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,Microsoft Academic Paper ID,WHO #Covidence,has_full_text,full_text_file,url
532,mrsya6wz,29b3eaeacecf2bfc95b9a493dbb1ba4b2323dd46,medrxiv,"Adjusted age-specific case fatality ratio during the COVID-19 epidemic in Hubei, China, January and February 2020",10.1101/2020.03.04.20031104,,,medrvix,"The coronavirus disease 2019 (COVID-19) epidemic that originated in Wuhan, China has spread to more than 60 countries. We estimated the age-specific case fatality ratio (CFR) by fitting a transmission model to data from China, accounting for underreporting of cases and the time delay to death. Overall CFR among all infections was 1.6% (1.4-1.8%) and increased considerably for the elderly, highlighting the expected burden for populations with further expansion of the COVID-19 epidemic around the globe.",3/6/20,Julien Riou; Anthony Hauser; Michel J Counotte; Christian L Althaus,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.03.04.20031104
1455,x12cqydo,,WHO,Modeling the epidemic dynamics and control of COVID-19 outbreak in China,10.1007/s40484-020-0199-0,,,unk,"The coronavirus disease 2019 (COVID-19) is rapidly spreading in China and more than 30 countries over last two months. COVID-19 has multiple characteristics distinct from other infectious diseases, including high infectivity during incubation, time delay between real dynamics and daily observed number of confirmed cases, and the intervention effects of implemented quarantine and control measures. We develop a Susceptible, Un-quanrantined infected, Quarantined infected, Confirmed infected (SUQC) model to characterize the dynamics of COVID-19 and explicitly parameterize the intervention effects of control measures, which is more suitable for analysis than other existing epidemic models. The SUQC model is applied to the daily released data of the confirmed infections to analyze the outbreak of COVID-19 in Wuhan, Hubei (excluding Wuhan), China (excluding Hubei) and four first-tier cities of China. We found that, before January 30, 2020, all these regions except Beijing had a reproductive number R > 1, and after January 30, all regions had a reproductive number R < 1, indicating that the quarantine and control measures are effective in preventing the spread of COVID-19. The confirmation rate of Wuhan estimated by our model is 0.0643, substantially lower than that of Hubei excluding Wuhan (0.1914), and that of China excluding Hubei (0.2189), but it jumps to 0.3229 after February 12 when clinical evidence was adopted in new diagnosis guidelines. The number of unquarantined infected cases in Wuhan on February 12, 2020 is estimated to be 3,509 and declines to 334 on February 21, 2020. After fitting the model with data as of February 21, 2020, we predict that the end time of COVID-19 in Wuhan and Hubei is around late March, around mid March for China excluding Hubei, and before early March 2020 for the four tier-one cities. A total of 80,511 individuals are estimated to be infected in China, among which 49,510 are from Wuhan, 17,679 from Hubei (excluding Wuhan), and the rest 13,322 from other regions of China (excluding Hubei). Note that the estimates are from a deterministic ODE model and should be interpreted with some uncertainty. We suggest that rigorous quarantine and control measures should be kept before early March in Beijing, Shanghai, Guangzhou and Shenzhen, and before late March in Hubei. The model can also be useful to predict the trend of epidemic and provide quantitative guide for other countries at high risk of outbreak, such as South Korea, Japan, Italy and Iran.",3/11/20,"Zhao, Shilei; Chen, Hua",Quantitative Biology,,#8545,FALSE,,https://doi.org/10.1007/s40484-020-0199-0
432,ry3m6x8c,75e68869f9b65bca661e768402395d9dede6de2c,medrxiv,Modeling the Epidemic Dynamics and Control of COVID-19 Outbreak in China,10.1101/2020.02.27.20028639,,,medrvix,"The coronavirus disease 2019 (COVID-19) is rapidly spreading over China and more than 30 countries in last two months. COVID-19 has multiple characteristics distinct from other infectious diseases, including a high infectivity during incubation, time delay between real dynamics and daily observed case numbers, and the effects from multiple quarantine and control measures. We develop a model SUQC to adequately characterizes the dynamics of COVID-19 and explicitly model the control by artificial measures, which is more suitable for analysis than other existing epidemic models. The SUQC model is applied to the daily released data of the confirmed infected to analyze the outbreak of COVID-19 in Wuhan, Hubei (excluding Wuhan), China (excluding Hubei) and four first-tier cities of China. We find that, before January 30, 2020, all these regions except Beijing have a reproductive number R>1, and after January 30, all regions have a reproductive number R<1, indicating the effectiveness of the quarantine and control measures in inhibiting COVID-19. The confirmation rate of Wuhan is 0.0643, significantly lower than 0.1914 of Hubei (excluding Wuhan) and 0.2189 of China (excluding Hubei), but increases to 0.3229 after Feb 12th when clinical diagnosis was adopted. The un-quarantined infected individuals in Wuhan on February 12, 2020 is as high as 3,509 and decreases to 334 on February 21th, 2020. After fitting the model with recent data, we predict that the end times of COVID-19 of Wuhan and Hubei are around late-March, of China (excluding Hubei) around mid-March, and of the four tier-one cities before March 2020. A total of 80,511 individuals of the whole country are infected, among which 49,510 are from Wuhan, 17,679 from Hubei(excluding Wuhan), and the rest 13,322 from other regions of China (excluding Hubei). We suggest the rigorous quarantine and control measures should be kept before March in Beijing, Shanghai, Guangzhou and Shenzhen, and before late-March in Hubei. The model can also be useful to predict the trend of epidemic and provide quantitative guide for other counties in a high risk of outbreak, such as South Korea, Japan and Iran.",2/29/20,Shilei Zhao; Hua Chen,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.02.27.20028639
1448,4j3fdjlg,,WHO,Preparing for a COVID-19 pandemic: a review of operating room outbreak response measures in a large tertiary hospital in Singapore,10.1007/s12630-020-01620-9,,,unk,"The coronavirus disease 2019 (COVID-19) outbreak has been designated a public health emergency of international concern. To prepare for a pandemic, hospitals need a strategy to manage their space, staff, and supplies so that optimum care is provided to patients. In addition, infection prevention measures need to be implemented to reduce in-hospital transmission. In the operating room, these preparations involve multiple stakeholders and can present a significant challenge. Here, we describe the outbreak response measures of the anesthetic department staffing the largest (1,700-bed) academic tertiary level acute care hospital in Singapore (Singapore General Hospital) and a smaller regional hospital (Sengkang General Hospital). These include engineering controls such as identification and preparation of an isolation operating room, administrative measures such as modification of workflow and processes, introduction of personal protective equipment for staff, and formulation of clinical guidelines for anesthetic management. Simulation was valuable in evaluating the feasibility of new operating room set-ups or workflow. We also discuss how the hierarchy of controls can be used as a framework to plan the necessary measures during each phase of a pandemic, and review the evidence for the measures taken. These containment measures are necessary to optimize the quality of care provided to COVID-19 patients and to reduce the risk of viral transmission to other patients or healthcare workers.",3/11/20,"Wong, Jolin; Goh, Qing Yuan; Tan, Zihui; Lie, Sui An; Tay, Yoong Chuan; Ng, Shin Yi; Soh, Chai Rick",Canadian Journal of Anesthesia/Journal canadien d'anesthésie,,#8522,FALSE,,https://doi.org/10.1007/s12630-020-01620-9
1456,xawxmttw,,WHO,Modelling the Economic Impact and Ripple Effects of Disease Outbreaks,10.1007/s41660-020-00113-y,,,unk,"The Coronavirus Disease 2019 (COVID-19) outbreak has had alarming effects on human lives and the economies of affected countries. With the world’s manufacturing hubs experiencing a period of extended factory closures, the economic impact transcends territorial borders via global supply chains. This paper provides a roadmap on how to evaluate the vulnerability that cascades through the supply chain due to a disease outbreak at the firm level, national level, and global scale. The final extent of losses is not yet known, but the development of economic models combined with epidemiological models and network analysis techniques can yield more realistic estimates to select appropriate strategies in a timely manner.",3/10/20,"Yu, Krista Danielle S.; Aviso, Kathleen B.",Process Integration and Optimization for Sustainability,,#5952,FALSE,,https://doi.org/10.1007/s41660-020-00113-y
708,2okcuviq,f08249cbb9bdfc3b7f103470537a52190c81b974,medrxiv,Blood single cell immune profiling reveals the interferon-MAPK pathway mediated adaptive immune response for COVID-19,10.1101/2020.03.15.20033472,,,medrvix,"The coronavirus disease 2019 (COVID-19) outbreak is an ongoing global health emergence, but the pathogenesis remains unclear. We revealed blood cell immune response profiles using 5' mRNA, TCR and BCR V(D)J transcriptome analysis with single-cell resolution. Data from 134,620 PBMCs and 83,387 TCR and 12,601 BCR clones was obtained, and 56 blood cell subtypes and 23 new cell marker genes were identified from 16 participants. The number of specific subtypes of immune cells changed significantly when compared patients with controls. Activation of the interferon-MAPK pathway is the major defense mechanism, but MAPK transcription signaling is inhibited in cured patients. TCR and BCR V(D)J recombination is highly diverse in generating different antibodies against SARS-CoV-2. Therefore, the interferon-MAPK pathway and TCR- and BCR-produced antibodies play important roles in the COVID-19 immune response. Immune deficiency or immune over-response may result in the condition of patients with COVID-19 becoming critical or severe.",3/17/20,Lulin Huang; Yi Shi; Bo Gong; Li Jiang; Xiaoqi Liu; Jialiang Yang; Juan Tang; Chunfang You; Qi Jiang; Bo Long; Tao Zeng; Mei Luo; Fanwei Zeng; Fanxin Zeng; Shuqiang Wang; Xingxiang Yang; Zhenglin Yang,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.03.15.20033472
1430,ermbijfq,,WHO,China's local governments are combating COVID-19 with unprecedented responses - from a Wenzhou governance perspective,10.1007/s11684-020-0755-z,,,unk,"The COVID-19 caused by a novel strain of Coronavirus has been spreading rapidly since its onset in Wuhan, the capital city of central China's Hubei Province, in December 2019. It is highly communicable through human-to-human transmission. China has been making unprecedented efforts in treating the confirmed cases, identifying and isolating their close contacts and suspected cases to control the source of infection and cut the route of transmission. China's devotion in handling this epidemic has effectively and efficiently curbed communication domestically and across the border. Representative measures adopted by Wenzhou, the worst hit city out of Hubei Province, are examined to elucidate those massive undertakings with the aim of enhancing international understanding and building global rapport in fighting this evolving epidemic situation.",3/12/20,"Gong, Fanghua; Xiong, Yong; Xiao, Jian; Lin, Li; Liu, Xiaodong; Wang, Dezhong; Li, Xiaokun",Frontiers of Medicine,,#8384,FALSE,,https://doi.org/10.1007/s11684-020-0755-z
339,1s0exznp,,medrxiv,Generation of antibodies against COVID-19 virus for development of diagnostic tools,10.1101/2020.02.20.20025999,,,medrvix,"The COVID-19 China coronavirus started in Dec 2019 was challenged by the lack of accurate serological diagnostic tool for this deadly disease to quickly identify and isolate the infected patients. The generation of COVID-19-specific antibodies is essential for such tasks. Here we report that polyclonal and monoclonal antibodies were generated by immunizing animals with synthetic peptides corresponding to different areas of Nucleoprotein (N) of COVID-19. The specificities of the COVID-19 antibodies were assessed by Western Blot analysis against NPs from COVID-19, MERS and SARS. Antibodies were used for immunohistochemistry staining of the tissue sections from COVID-19 infected patient, as a potential diagnostic tool. A Sandwich ELISA kit was quickly assembled for quantitation of the virus/NP of COVID-19 concentrations in the vaccine preparations. Development of POCT is also aggressively undergoing.",2/25/20,Maohua Li; Ronghua Jin; Ya Peng; Cuiyan Wang; Wenlin Ren; Fudong Lv; Sitao Gong; Feng Fang; Qianyun Wang; Jianli Li; Tong Shen; Hunter Sun; Lei Zhou; Yali Cui; Hao Song; Le Sun,,,,FALSE,biorxiv_medrxiv,https://doi.org/10.1101/2020.02.20.20025999
834,9032hh5c,a9c98dc9001a93b57599a06a1145df12751ccad6,medrxiv,Chinese and Italian COVID-19 outbreaks can be correctly described by a modified SIRD model,10.1101/2020.03.19.20039388,,,medrvix,"The COVID-19 disease is rapidly spreading in whole globe, affecting millions of people and pushing governments to take drastic measures to contain the outbreaks. The understanding of the dynamics of the epidemic is of great interest for the governments and health authorities that are facing COVID-19 outbreaks. The scarce presence of epidemiologic data, due to the still ongoing outbreaks, makes prediction difficult and mainly based on heuristic (fitting) models. However, these models with non-physical based parameters, can only give limited insight in the evolution of the outbreaks. In this work a SIRD compartmental model was developed to describe and predict the evolution of the Chinese and Italian outbreaks. Exploiting the similarities of the measures taken by the governments to contain the virus and of the total population number of Hubei province and Italy, the model was tuned on the Chinese outbreak (almost extinguished) and by perturbation the Italian outbreak was describe and predicted. With this approach the lack of data due to the still ongoing Italian epidemic was compensated by the Chinese experience, allowing to obtain a SIRD model for this relatively new COVID-19 outbreak. According to the modeling prediction the peak of infection should be on the 28th of March, with almost 42,000 infected people.",3/23/20,Diego Caccavo,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.03.19.20039388
418,px0twvhs,4bd697fdded7ee65154e28def586a7e9b60e7078,medrxiv,Transmission characteristics of the COVID-19 outbreak in China: a study driven by data,10.1101/2020.02.26.20028431,,,medrvix,"The COVID-19 outbreak has been a serious public health threat worldwide. We use individually documented case descriptions of COVID-19 from China (excluding Hubei Province) to estimate the distributions of the generation time, incubation period, and periods from symptom onset to isolation and to diagnosis. The recommended 14-day quarantine period may lead to a 6.7% failure for quarantine. We recommend a 22-day quarantine period. The mean generation time is 3.3 days and the mean incubation period is 7.2 days. It took 3.7 days to isolate and 6.6 days to diagnose a patient after his/her symptom onset. Patients may become infectious on average 3.9 days before showing major symptoms. This makes contact tracing and quarantine ineffective. The basic reproduction number is estimated to be 1.54 with contact tracing, quarantine and isolation, mostly driven by super spreaders.",3/1/20,Meili Li; Pian Chen; Qianqian Yuan; Baojun Song; Junling Ma,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.02.26.20028431
356,o3hytzwu,54d2fd5689ac3255e8041c36b5fb333a3bd3f9b2,medrxiv,A Novel Method for the Estimation of a Dynamic Effective Reproduction Number (Dynamic-R) in the CoViD-19 Outbreak,10.1101/2020.02.22.20023267,,,medrvix,"The CoViD-19 outbreak has escalated to a pandemic in the last few weeks, with no signs of stopping. Pharmaceutical solutions based upon virologic studies, at this point, remain inconclusive. In contrast, this paper looks towards epidemiological models during this phase of viral growth, in particular, by providing a responsive, timely model of the R value based on the previous few days' results. Such an R value, although bearing less statistical precision due to limited sampling, could allow R to become a more effective, responsive standalone measure of infectious transmission. It demonstrates that the R value can be used as a dynamic, time-dependent indicator without the use of curve-fitting, and also estimates the most recent R-value of the CoViD-19 outbreak to be about 4.29, based on the data from the previous 3 days.",2/25/20,Yi Chen Chong,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.02.22.20023267
489,xfxf1vse,,medrxiv,Forecasting the Cumulative Number of COVID-19 Deaths in China: a Boltzmann Function-based Modeling Study,10.1101/2020.03.02.20030064,,,medrvix,"The COVID-19 outbreak is on-going in China. Here we estimated the potential total numbers of COVID-19 deaths in China, outside Hubei (in China), Hubei Province, Wuhan City and outside Wuhan (in Hubei) by Boltzmann function-based analyses, which are 3342 (95% CI, 3214, 3527), 111 (109, 114), 3245 (3100, 3423), 2613 (2498, 2767) and 627 (603, 654), respectively. The results may help to evaluate the severity of COVID-19 outbreaks and facilitate timely mental service for the families of passed patients.",3/3/20,Cheng Long; Qi Ying; Xinmiao Fu; Zhongyan Li; Yuanyuan Gao,,,,FALSE,biorxiv_medrxiv,https://doi.org/10.1101/2020.03.02.20030064
826,i37ygb2z,9063827ea238079db54e7ebddb628daad3d2b523,medrxiv,Forecasting ultra-early intensive care strain from COVID-19 in England,10.1101/2020.03.19.20039057,,,medrvix,"The COVID-19 pandemic has led to unprecedented strain on intensive care unit (ICU) admission in parts of the world. Strategies to create surge ICU capacity requires complex local and national service reconfiguration and reduction or cancellation of elective activity. Theses measures require time to implement and have an inevitable lag before additional capacity comes on-line. An accurate short-range forecast would be helpful in guiding such difficult, costly and ethically challenging decisions. At the time this work began, cases in England were starting to increase. Here we present an attempt at an agile short-range forecast based on published real-time COVID-19 case data from the seven National Health Service commissioning regions in England (East of England, London, Midlands, North East and Yorkshire, North West, South East and South West). We use a Monte Carlo approach to model the likely impact of current diagnoses on regional ICU capacity over a 14 day horizon. Our model is designed to be parsimonious and based on plausible epidemiological data from the literature available. On the basis of the modelling assumptions made, ICU occupancy is likely to increase dramatically in the the days following the time of modelling. If the current exponential growth continues, 5 out of 7 commissioning regions will have more critically ill COVID-19 patients than there are ICU beds within two weeks\todo{last thing to do}. Despite variable growth in absolute patients, all commissioning regions are forecast to be heavily burdened under the assumptions used. Whilst, like any forecast model, there remain uncertainties both in terms of model specification and robust epidemiological data in this early prospective phase, it would seem that surge capacity will be required in the very near future. We hope that our model will help policy decision makers with their preparations. The uncertainties in the data highlight the urgent need for ongoing real-time surveillance to allow forecasts to be constantly updated using high quality local patient-facing data as it emerges.",3/23/20,Jacob Deasy; Emma Rocheteau; Katharina Kohler; Daniel J. Stubbs; Peitro Barbiero; Pietro Liò; Ari Ercole,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.03.19.20039057
703,gttuxtw6,67e26529131aa6241f7f15af391c689c34183a4e,medrxiv,Correcting under-reported COVID-19 case numbers,10.1101/2020.03.14.20036178,,,medrvix,"The COVID-19 virus has spread worldwide in a matter of a few months. Healthcare systems struggle to monitor and report current cases. Limited capabilities in testing result in difficult to guide policies and mitigate lack of preparation. Since severe cases, which more likely lead to fatal outcomes, are detected at a higher percentage than mild cases, the reported death rates are likely inflated in most countries. Such under-estimation can be attributed to the under-sampling of infection cases and results in systematic death rate estimation biases. The method proposed here utilizes a benchmark country (South Korea) and its reported death rates in combination with population demographics to correct the reported COVID-19 case numbers. By applying a correction, we predict that the number of cases is highly under-reported in most countries. In the case of China, it is estimated that more than 700.000 cases of COVID-19 actually occurred instead of the confirmed 80,932 cases as of 3/13/2020.",3/18/20,Alexander Lachmann,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.03.14.20036178
1930,ee63ehmg,,WHO,Thoughts and suggestions on modern construction of disease prevention and control system,10.3760/cma.j.cn112150-20200221-00151,,32100978,unk,"The critical period for the prevention and control of novel coronavirus pneumonia (NCP) in China, in response to requirements for accelerating the modernization of the disease prevention and control system, we analyzed and summarized the current situation, existing problems, and deficiencies in China's modernization of disease prevention and control system. In addition, we put forward the contents and countermeasures for the modernization of the disease prevention and control system. The modernization of the disease prevention and control system should be built around governance modernization, talent modernization, equipment modernization, scientific research modernization, and modernization of the regulatory system. The countermeasures and suggestions need to reposition the disease prevention and control system, rationalize the management system and operating mechanism, strengthen the modernization of talents and equipment, strengthen scientific research on disease prevention and control, and further improve the disease prevention and control legal system.",2020,"Cheng, J. Q.",Zhonghua Yu Fang Yi Xue Za Zhi,2387214729,#2327,FALSE,,https://doi.org/10.3760/cma.j.cn112150-20200221-00151
2295,sasspze6,,WHO,Thoughts and suggestions on modern construction of disease prevention and control system,,,,unk,"The critical period for the prevention and control of novel coronavirus pneumonia (NCP) in China, in response to requirements for accelerating the modernization of the disease prevention and control system, we analyzed and summarized the current situation, existing problems, and deficiencies in China's modernization of disease prevention and control system. In addition, we put forward the contents and countermeasures for the modernization of the disease prevention and control system. The modernization of the disease prevention and control system should be built around governance modernization, talent modernization, equipment modernization, scientific research modernization, and modernization of the regulatory system. The countermeasures and suggestions need to reposition the disease prevention and control system, rationalize the management system and operating mechanism, strengthen the modernization of talents and equipment, strengthen scientific research on disease prevention and control, and further improve the disease prevention and control legal system.",2020,"CHENG, Jin Quan",Chinese Journal of Preventive Medicine,,#6370,FALSE,,
1844,r74u7oyo,,WHO,"Rapidly increasing cumulative incidence of coronavirus disease (COVID-19) in the European Union/European Economic Area and the United Kingdom, 1 January to 15 March 2020",10.2807/1560-7917.es.2020.25.11.2000285,,,unk,"The cumulative incidence of coronavirus disease (COVID-19) cases is showing similar trends in European Union/European Economic Area countries and the United Kingdom confirming that, while at a different stage depending on the country, the COVID-19 pandemic is progressing rapidly in all countries. Based on the experience from Italy, countries, hospitals and intensive care units should increase their preparedness for a surge of patients with COVID-19 who will require healthcare, and in particular intensive care.",3/19/20,"Kinross, Pete; Suetens, Carl; Gomes Dias, Joana; Alexakis, Leonidas; Wijermans, Ariana; Colzani, Edoardo; Monnet, Dominique L.",Eurosurveillance,,#8748,FALSE,,https://doi.org/10.2807/1560-7917.es.2020.25.11.2000285
2076,x8tcmtpj,,WHO,Management of corona virus disease-19 (COVID-19): the Zhejiang experience,,,32096367,unk,"The current epidemic situation of corona virus disease-19 (COVID-19) still remained severe. As the National Clinical Research Center for Infectious Diseases, the First Affiliated Hospital of Zhejiang University School of Medicine is the primary medical care center for COVID-19 inZhejiang Province. Based on the present expert consensus carried out by National Health Commission and National Administration of Traditional Chinese Medicine, our team summarized and established an effective treatment strategy centered on ""Four-Anti and Two-Balance"" for clinical practice. The ""Four-Anti and Two-Balance""strategy included antivirus, anti-shock, anti-hyoxemia, anti-secondary infection, and maintaining of water, electrolyte and acid base balance and microecological balance. Meanwhile, integrated multidisciplinarypersonalized treatment was recommended to improve therapeutic effect. The importance of early viralogical detection, dynamic monitoring of inflammatory indexes and chest radiograph was emphasized in clinical decision-making. Sputum was observed with the highest positive rate of RT-PCR results. Viral nucleic acids could be detected in10% patients'blood samples at acute periodand 50% of patients had positive RT-PCR results in their feces. We also isolated alive viral strains from feces, indicating potential infectiousness of feces.Dynamic cytokine detection was necessary to timely identifyingcytokine storms and application of artificial liver blood purification system. The ""Four-Anti and Two-Balance""strategyeffectively increased cure rate and reduced mortality. Early antiviral treatment could alleviate disease severity and prevent illness progression, and we found lopinavir/ritonavir combined with abidol showed antiviraleffects in COVID-19. Shock and hypoxemia were usually caused by cytokine storms. The artificial liver blood purification system could rapidly remove inflammatory mediators and block cytokine storm.Moreover, it also favoredthe balance of fluid, electrolyte and acid-base and thus improved treatment efficacy in critical illness. For cases of severe illness, early and also short periods of moderate glucocorticoid was supported. Patients with oxygenation index below 200 mmHg should be transferred to intensive medical center. Conservative oxygen therapy was preferred and noninvasive ventilation was not recommended. Patients with mechanical ventilation should be strictly supervised with cluster ventilator-associated pneumonia prevention strategies. Antimicrobial prophylaxis should be prescribed rationally and was not recommended except for patients with long course of disease, repeated fever and elevated procalcitonin (PCT), meanwhile secondary fungal infection should be concerned.Some patients with COVID-19 showed intestinal microbialdysbiosis with decreasedprobiotics such as Lactobacillus and Bifidobacterium. Nutritional and gastrointestinal function should be assessed for all patients.Nutritional support and application of prebiotics or probiotics were suggested to regulate the balance of intestinal microbiota and reduce the risk of secondary infection due to bacterial translocation. Anxiety and fear were common in patients with COVID-19. Therefore, we established dynamic assessment and warning for psychological crisis. We also integrated Chinese medicine in treatment to promote disease rehabilitation through classification methods of traditional Chinese medicine. We optimized nursing process for severe patients to promote their rehabilitation. It remained unclear about viral clearance pattern after the SARS-CoV-2 infection. Therefore, two weeks' quarantine for discharged patients was required and a regular following up was also needed.The Zhejiang experience above and suggestions have been implemented in our center and achieved good results. However, since COVID-19 was a newly emerging disease, more work was warranted to improve strategies of prevention, diagnosis and treatment for COVID-19.",2020,"Xu, Kaijin; Cai, Hongliu; Shen, Yihong; Ni, Qin; Chen, Yu; Hu, Shaohua; Li, Jianping; Wang, Huafen; Yu, Liang; Huang, He; Qiu, Yunqing; Wei, Guoqing; Fang, Qiang; Zhou, Jianying; Sheng, Jifang; Liang, Tingbo; Li, Lanjuan",Zhejiang Da Xue Xue Bao Yi Xue Ban,,#1909,FALSE,,https://www.ncbi.nlm.nih.gov/pubmed/32096367/
1677,rq9hmjsx,,WHO,2019_nCoV/SARS-CoV-2: rapid classification of betacoronaviruses and identification of Traditional Chinese Medicine as potential origin of zoonotic coronaviruses,10.1111/lam.13285,,32060933,unk,"The current outbreak of a novel severe acute respiratory syndrome-like coronavirus, 2019_nCoV(now named SARS-CoV-2), illustrated difficulties in identifying a novel coronavirus and its natural host, as the coding sequences of various Betacoronavirus species can be highly diverse. By means of whole-genome sequence comparisons, we demonstrate that the noncoding flanks of the viral genome can be used to correctly separate the recognized four betacoronavirus subspecies. The conservation would be sufficient to define target sequences that could, in theory, classify novel virus species into their subspecies. Only 253 upstream noncoding sequences of Sarbecovirus are sufficient to identify genetic similarities between species of this subgenus. Furthermore, it was investigated which bat species have commercial value in China, and would thus likely be handled for trading purposes. A number of coronavirus genomes have been published that were obtained from such bat species. These bats are used in Traditional Chinese Medicine, and their handling poses a potential risk to cause zoonotic coronavirus epidemics. SIGNIFICANCE AND IMPACT OF THE STUDY: The noncoding upstream and downstream flanks of coronavirus genomes allow for rapid classification of novel Betacoronavirus species and correct identification of genetic relationships. Although bats are the likely natural host of 2019_nCoV, the exact bat species that serves as the natural host of the virus remains as yet unknown. Chinese bat species with commercial value were identified as natural reservoirs of coronaviruses and are used in Traditional Chinese Medicine. Since their trading provides a potential risk for spreading zoonoses, a change in these practices is highly recommended.",2/28/20,"Wassenaar, T. M.; Zou, Y.",Letters in Applied Microbiology,3006608991,#4187,FALSE,,https://doi.org/10.1111/lam.13285
631,0xzsa21a,fd6163a04c4ac0100a7c9be19def78d2171eac47,medrxiv,Prediction of the COVID-19 outbreak based on a realistic stochastic model,10.1101/2020.03.10.20033803,,,medrvix,"The current outbreak of coronavirus disease 2019 (COVID-19) has become a global crisis due to its quick and wide spread over the world. A good understanding of the dynamic of the disease would greatly enhance the control and prevention of COVID-19. However, to the best of our knowledge, the unique features of the outbreak have limited the applications of all existing models. In this paper, a novel stochastic model is proposed which aims to account for the unique transmission dynamics of COVID-19 and capture the effects of intervention measures implemented in Mainland China. We find that, (1) instead of aberration, there is a remarkable amount of asymptomatic individuals, (2) an individual with symptoms is approximately twice more likely to pass the disease to others than that of an asymptomatic patient, (3) the transmission rate has reduced significantly since the implementation of control measures in Mainland China, (4) it is expected that the epidemic outbreak would be contained by early March in the the selected provinces and cities.",3/13/20,Yuan Zhang; Chong You; Zhenghao Cai; Jiarui Sun; Wenjie Hu; Xiao-Hua Zhou,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.03.10.20033803
1329,pwvcwlh8,,WHO,Cross‐species transmission of the newly identified coronavirus 2019‐nCoV,10.1002/jmv.25682,,31967321,unk,"The current outbreak of viral pneumonia in the city of Wuhan, China, was caused by a novel coronavirus designated 2019-nCoV by the World Health Organization, as determined by sequencing the viral RNA genome. Many patients were potentially exposed to wildlife animals at the Huanan seafood wholesale market, where poultry, snake, bats, and other farm animals were also sold. To determine the possible virus reservoir, we have carried out comprehensive sequence analysis and comparison in conjunction with relative synonymous codon usage (RSCU) bias among different animal species based on existing sequences of the newly identified coronavirus 2019-nCoV. Results obtained from our analyses suggest that the 2019-nCoV appears to be a recombinant virus between the bat coronavirus and an origin-unknown coronavirus. The recombination occurred within the viral spike glycoprotein, which recognizes cell surface receptor. Additionally, our findings suggest that snake is the most probable wildlife animal reservoir for the 2019-nCoV based on its RSCU bias resembling snake compared to other animals. Taken together, our results suggest that homologous recombination within the spike glycoprotein may contribute to cross-species transmission from snake to humans. This article is protected by copyright. All rights reserved.",2/19/20,"Ji, W.; Wang, W.; Zhao, X.; Zai, J.; Li, X.",Journal of Medical Virology,3000771439,#17,FALSE,,https://doi.org/10.1002/jmv.25682
354,v0yzur5h,cc41c51293ed24a57ddf467e462ec9399463ee33,biorxiv,No more business as usual: agile and effective responses to emerging pathogen threats require open data and open analytics,10.1101/2020.02.21.959973,,,biorxiv,"The current state of much of the Wuhan pneumonia virus (COVID-19) research shows a regrettable lack of data sharing and considerable analytical obfuscation. This impedes global research cooperation, which is essential for tackling public health emergencies, and requires unimpeded access to data, analysis tools, and computational infrastructure. Here we show that community efforts in developing open analytical software tools over the past ten years, combined with national investments into scientific computational infrastructure, can overcome these deficiencies and provide an accessible platform for tackling global health emergencies in an open and transparent manner. Specifically, we use all COVID-19 genomic data available in the public domain so far to (1) underscore the importance of access to raw data and to (2) demonstrate that existing community efforts in curation and deployment of biomedical software can reliably support rapid, reproducible research during global health crises. All our analyses are fully documented at https://github.com/galaxyproject/SARS-CoV-2.",2/22/20,Anton Nekrutenko; Sergei L Kosakovsky Pond,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.02.21.959973
2296,fit47dvd,,WHO,The recommendation for management of the bereavements among the family members died with novel coronavirus pneumonia,,,,unk,"The death of a family member died with the novel coronavirus pneumonia is a special traumatic stress to the other family members and they will bear unbelievable distress and dramatic sorrow. The grief responses can be divided into normal grief responses and abnormal grief responses. The latter are much stronger, more severe, last longer and the responses can be delayed or inhibited or distorted. The management of abnormal grief responses includes counseling, supportive group, psychotherapy and medications.",2020,"JI, Jianlin",Chinese Journal of Behavioral Medicine and Brain Science,,#2248,FALSE,,
